id,actual_response,actual_type,actual_activity,is_correct_prediction
873,Y,reward,meal planning,True
874,Y,praise,meal planning,True
875,Y,praise,meal planning,True
876,Y,reminder,meal planning,True
877,Y,praise,water intake,True
878,Y,praise,meal planning,True
879,Y,reward,meal planning,True
880,Y,reminder,meal planning,True
881,Y,reminder,meal planning,True
882,Y,praise,meal planning,True
883,Y,reward,meal planning,True
884,Y,reward,meal planning,True
885,Y,praise,meal planning,True
886,Y,reminder,meal planning,True
887,Y,praise,meal planning,True
888,Y,reward,meal planning,True
889,Y,praise,meal planning,True
890,Y,praise,water intake,True
891,Y,reward,meal planning,True
892,Y,reminder,meal planning,True
893,Y,praise,meal planning,True
894,Y,praise,water intake,True
895,Y,praise,meal planning,True
896,Y,reminder,meal planning,True
897,Y,praise,water intake,True
898,Y,praise,water intake,True
899,Y,praise,meal planning,True
900,Y,reminder,meal planning,True
901,Y,praise,meal planning,True
902,Y,reminder,meal planning,True
903,Y,praise,water intake,True
904,Y,praise,meal planning,True
905,Y,reward,meal planning,True
906,Y,praise,meal planning,True
907,Y,praise,meal planning,True
908,Y,reminder,meal planning,True
909,Y,praise,water intake,True
910,Y,reward,meal planning,True
911,Y,reminder,meal planning,True
912,Y,reminder,meal planning,True
913,Y,praise,meal planning,True
914,Y,praise,meal planning,True
915,Y,praise,meal planning,True
916,Y,praise,water intake,True
917,Y,praise,meal planning,True
918,Y,reminder,meal planning,True
919,Y,praise,water intake,True
920,Y,praise,meal planning,True
921,Y,reward,meal planning,True
922,Y,reward,meal planning,True
923,Y,reminder,meal planning,True
924,Y,praise,meal planning,True
925,Y,reminder,meal planning,True
926,Y,reminder,meal planning,True
927,Y,praise,meal planning,True
928,Y,praise,meal planning,True
929,Y,reminder,meal planning,True
930,Y,praise,meal planning,True
931,Y,praise,water intake,True
932,Y,praise,meal planning,True
933,Y,reward,meal planning,True
934,Y,praise,meal planning,True
935,Y,praise,meal planning,True
936,Y,reminder,meal planning,True
937,Y,reward,meal planning,True
938,Y,praise,meal planning,True
939,Y,reminder,meal planning,True
940,Y,reminder,meal planning,True
941,Y,praise,meal planning,True
942,Y,reward,meal planning,True
943,Y,reward,meal planning,True
944,Y,praise,water intake,True
945,Y,praise,water intake,True
946,Y,praise,meal planning,True
947,Y,reward,meal planning,True
948,Y,praise,meal planning,True
949,Y,reward,meal planning,True
950,Y,reminder,meal planning,True
951,Y,praise,water intake,True
952,Y,reminder,meal planning,True
953,Y,praise,water intake,True
954,Y,praise,meal planning,True
955,Y,praise,meal planning,True
956,Y,reward,meal planning,True
957,Y,praise,meal planning,True
958,Y,reward,meal planning,True
959,Y,praise,meal planning,True
960,Y,reward,meal planning,True
961,Y,praise,meal planning,True
962,Y,reward,meal planning,True
963,Y,praise,water intake,True
964,Y,reminder,meal planning,True
965,Y,praise,meal planning,True
966,Y,praise,meal planning,True
967,Y,praise,water intake,True
968,Y,reward,meal planning,True
969,Y,praise,meal planning,True
970,Y,praise,meal planning,True
971,Y,reminder,meal planning,True
972,Y,praise,meal planning,True
973,Y,praise,water intake,True
974,Y,praise,meal planning,True
975,Y,reward,meal planning,True
976,Y,praise,meal planning,True
977,Y,reminder,meal planning,True
978,Y,reward,meal planning,True
979,Y,praise,water intake,True
980,Y,reminder,meal planning,True
981,Y,reward,meal planning,True
982,Y,reward,meal planning,True
983,Y,praise,meal planning,True
984,Y,praise,meal planning,True
985,Y,reminder,meal planning,True
986,Y,praise,water intake,True
987,Y,reminder,meal planning,True
988,Y,reward,meal planning,True
989,Y,reward,meal planning,True
990,Y,praise,meal planning,True
991,Y,praise,meal planning,True
992,Y,reward,meal planning,True
993,Y,reward,meal planning,True
994,Y,praise,meal planning,True
995,Y,reward,meal planning,True
996,Y,reminder,meal planning,True
997,Y,praise,meal planning,True
998,Y,praise,meal planning,True
999,Y,praise,meal planning,True
1000,Y,reminder,meal planning,True
1001,Y,reminder,meal planning,True
1002,Y,praise,meal planning,True
1003,Y,reminder,meal planning,True
1004,Y,reminder,meal planning,True
1005,Y,praise,meal planning,True
1006,Y,praise,water intake,True
1007,Y,reminder,meal planning,True
1008,Y,praise,meal planning,True
1009,Y,praise,meal planning,True
1010,Y,reminder,meal planning,True
1011,Y,reward,meal planning,True
1012,Y,praise,water intake,True
1013,Y,praise,water intake,True
1014,Y,praise,meal planning,True
1015,Y,reminder,meal planning,True
1016,Y,reward,meal planning,True
1017,Y,reward,meal planning,True
1018,Y,reminder,meal planning,True
1019,Y,reminder,meal planning,True
1020,Y,praise,water intake,True
1021,Y,praise,water intake,True
1022,Y,reminder,meal planning,True
1023,Y,reward,meal planning,True
1024,Y,praise,water intake,True
1025,Y,praise,water intake,True
1026,Y,praise,meal planning,True
1027,Y,praise,water intake,True
1028,Y,praise,meal planning,True
1029,Y,praise,water intake,True
1030,Y,reminder,meal planning,True
1031,Y,praise,water intake,True
1032,Y,praise,water intake,True
1033,Y,reminder,meal planning,True
1034,Y,praise,meal planning,True
1035,Y,praise,water intake,True
1036,Y,reward,meal planning,True
1037,Y,praise,water intake,True
1038,Y,praise,water intake,True
1039,Y,reminder,meal planning,True
1040,Y,praise,water intake,True
1041,Y,reward,meal planning,True
1042,Y,reward,meal planning,True
1043,Y,praise,water intake,True
1044,Y,praise,meal planning,True
1045,Y,praise,meal planning,True
1046,Y,reminder,meal planning,True
1047,Y,reminder,meal planning,True
1048,Y,reward,meal planning,True
1049,Y,reminder,meal planning,True
1050,Y,reward,meal planning,True
1051,Y,reward,meal planning,True
1052,Y,reward,meal planning,True
1053,Y,praise,water intake,True
1054,Y,praise,meal planning,True
1055,Y,reminder,meal planning,True
1056,Y,reminder,meal planning,True
1057,Y,reward,meal planning,True
1058,Y,reminder,meal planning,True
1059,Y,reminder,meal planning,True
1060,Y,praise,water intake,True
1061,Y,praise,water intake,True
1062,Y,praise,water intake,True
1063,Y,reward,meal planning,True
1064,Y,praise,meal planning,True
1065,Y,reminder,meal planning,True
1066,Y,praise,meal planning,True
1067,Y,praise,water intake,True
1068,Y,praise,water intake,True
1069,Y,praise,meal planning,True
1070,Y,reward,meal planning,True
1071,Y,praise,meal planning,True
1072,Y,praise,meal planning,True
1073,Y,praise,meal planning,True
1074,Y,reward,meal planning,True
1075,Y,reward,meal planning,True
1076,Y,reminder,meal planning,True
1077,Y,praise,water intake,True
1078,Y,praise,meal planning,True
1079,Y,reward,meal planning,True
1080,Y,praise,water intake,True
1081,Y,reward,meal planning,True
1082,Y,reminder,meal planning,True
1083,Y,praise,water intake,True
1084,Y,praise,meal planning,True
1085,Y,reminder,meal planning,True
1086,Y,reminder,meal planning,True
1087,Y,reminder,meal planning,True
1088,Y,reminder,meal planning,True
1089,Y,praise,water intake,True
1090,Y,reward,meal planning,True
1091,Y,praise,meal planning,True
1092,Y,praise,water intake,True
1093,Y,praise,meal planning,True
1094,Y,reminder,meal planning,True
1095,Y,reminder,meal planning,True
1096,Y,reward,meal planning,True
1097,Y,reward,meal planning,True
1098,Y,praise,meal planning,True
1099,Y,reminder,meal planning,True
1100,Y,praise,water intake,True
1101,Y,reminder,meal planning,True
1102,Y,praise,water intake,True
1103,Y,praise,water intake,True
1104,Y,praise,water intake,True
1105,Y,praise,meal planning,True
1106,Y,praise,water intake,True
1107,Y,reward,meal planning,True
1108,Y,praise,meal planning,True
1109,Y,praise,meal planning,True
1110,Y,praise,meal planning,True
1111,Y,praise,water intake,True
1112,Y,praise,meal planning,True
1113,Y,reward,meal planning,True
1114,Y,reminder,meal planning,True
1115,Y,reward,meal planning,True
1116,Y,reminder,meal planning,True
1117,Y,praise,water intake,True
1118,Y,reward,meal planning,True
1119,Y,reward,meal planning,True
1120,Y,reminder,meal planning,True
1121,Y,praise,meal planning,True
1122,Y,praise,meal planning,True
1123,Y,reward,meal planning,True
1124,Y,reward,meal planning,True
1125,Y,reward,meal planning,True
1126,Y,praise,water intake,True
1127,Y,reminder,meal planning,True
1128,Y,praise,water intake,True
1129,Y,reminder,meal planning,True
1130,N,reminder,portion control,True
1131,Y,praise,meal planning,True
1132,Y,reminder,meal planning,True
1133,Y,reward,meal planning,True
1134,Y,praise,water intake,True
1135,Y,praise,meal planning,True
1136,Y,reward,meal planning,True
1137,Y,praise,meal planning,True
1138,Y,praise,meal planning,True
1139,Y,reminder,meal planning,True
1140,Y,reminder,meal planning,True
1141,Y,praise,meal planning,True
1142,Y,praise,water intake,True
1143,Y,praise,meal planning,True
1144,Y,reward,meal planning,True
1145,Y,praise,water intake,True
1146,Y,praise,water intake,True
1147,Y,praise,meal planning,True
1148,Y,reminder,meal planning,True
1149,Y,reminder,meal planning,True
1150,Y,reminder,meal planning,True
1151,Y,reminder,meal planning,True
1152,Y,praise,water intake,True
1153,Y,reward,meal planning,True
1154,Y,praise,meal planning,True
1155,Y,reminder,meal planning,True
1156,Y,praise,meal planning,True
1157,Y,praise,water intake,True
1158,Y,praise,meal planning,True
1159,Y,reminder,meal planning,True
1160,Y,praise,water intake,True
1161,Y,praise,water intake,True
1162,Y,praise,water intake,True
1163,Y,praise,meal planning,True
1164,Y,reminder,meal planning,True
1165,Y,praise,water intake,True
1166,Y,reminder,meal planning,True
1167,Y,reminder,meal planning,True
1168,Y,praise,meal planning,True
1169,Y,praise,meal planning,True
1170,Y,reward,meal planning,True
1171,Y,reminder,meal planning,True
1172,Y,praise,water intake,True
1173,Y,reward,meal planning,True
1174,Y,reminder,meal planning,True
1175,Y,praise,meal planning,True
1176,N,reminder,portion control,True
1177,Y,praise,water intake,True
1178,Y,reward,meal planning,True
1179,Y,reward,meal planning,True
1180,Y,reward,meal planning,True
1181,Y,reward,meal planning,True
1182,Y,praise,meal planning,True
1183,Y,praise,water intake,True
1184,Y,praise,meal planning,True
1185,Y,reward,meal planning,True
1186,Y,praise,meal planning,True
1187,Y,praise,water intake,True
1188,Y,reminder,meal planning,True
1189,Y,praise,water intake,True
1190,Y,reminder,meal planning,True
1191,Y,praise,meal planning,True
1192,Y,praise,water intake,True
1193,Y,praise,meal planning,True
1194,Y,reward,meal planning,True
1195,Y,praise,meal planning,True
1196,Y,reminder,meal planning,True
1197,Y,reminder,meal planning,True
1198,Y,reward,meal planning,True
1199,Y,praise,water intake,True
1200,Y,praise,meal planning,True
1201,Y,reward,meal planning,True
1202,Y,reminder,meal planning,True
1203,Y,praise,meal planning,True
1204,Y,reminder,meal planning,True
1205,Y,reminder,meal planning,True
1206,Y,praise,meal planning,True
1207,Y,reminder,meal planning,True
1208,Y,praise,water intake,True
1209,Y,reward,meal planning,True
1210,Y,praise,meal planning,True
1211,Y,reminder,meal planning,True
1212,Y,praise,water intake,True
1213,Y,reward,meal planning,True
1214,Y,praise,meal planning,True
1215,Y,praise,water intake,True
1216,Y,praise,water intake,True
1217,Y,praise,meal planning,True
1218,Y,reminder,meal planning,True
1219,Y,reminder,meal planning,True
1220,Y,praise,water intake,True
1221,Y,reward,meal planning,True
1222,Y,praise,water intake,True
1223,Y,praise,meal planning,True
1224,Y,praise,meal planning,True
1225,Y,reminder,meal planning,True
1226,Y,praise,water intake,True
1227,Y,praise,water intake,True
1228,Y,reminder,meal planning,True
1229,Y,reminder,meal planning,True
1230,Y,reward,meal planning,True
1231,Y,praise,meal planning,True
1232,Y,praise,water intake,True
1233,Y,praise,meal planning,True
1234,Y,praise,water intake,True
1235,Y,praise,water intake,True
1236,Y,reminder,meal planning,True
1237,Y,praise,water intake,True
1238,Y,reminder,meal planning,True
1239,Y,praise,meal planning,True
1240,Y,reward,meal planning,True
1241,Y,praise,water intake,True
1242,Y,reward,meal planning,True
1243,Y,reward,meal planning,True
1244,Y,praise,water intake,True
1245,Y,reward,meal planning,True
1246,Y,praise,meal planning,True
1247,Y,reminder,meal planning,True
1248,Y,praise,water intake,True
1249,Y,reward,meal planning,True
1250,Y,praise,meal planning,True
1251,Y,reminder,meal planning,True
1252,Y,reward,meal planning,True
1253,Y,reminder,meal planning,True
1254,Y,praise,water intake,True
1255,Y,reminder,meal planning,True
1256,Y,praise,water intake,True
1257,Y,praise,water intake,True
1258,Y,praise,meal planning,True
1259,Y,reward,meal planning,True
1260,Y,reward,meal planning,True
1261,Y,praise,meal planning,True
1262,Y,reminder,meal planning,True
1263,Y,praise,meal planning,True
1264,Y,praise,water intake,True
1265,Y,praise,water intake,True
1266,Y,praise,water intake,True
1267,Y,reward,meal planning,True
1268,Y,praise,meal planning,True
1269,Y,praise,meal planning,True
1270,Y,praise,meal planning,True
1271,Y,praise,meal planning,True
1272,Y,praise,meal planning,True
1273,Y,praise,meal planning,True
1274,Y,reminder,meal planning,True
1275,Y,reward,meal planning,True
1276,Y,reminder,meal planning,True
1277,Y,reward,meal planning,True
1278,Y,praise,water intake,True
1279,Y,praise,meal planning,True
1280,Y,reminder,meal planning,True
1281,Y,praise,water intake,True
1282,Y,reminder,meal planning,True
1283,Y,reminder,meal planning,True
1284,Y,praise,meal planning,True
1285,Y,praise,meal planning,True
1286,Y,praise,meal planning,True
1287,Y,praise,water intake,True
1288,Y,praise,water intake,True
1289,Y,praise,meal planning,True
1290,Y,praise,meal planning,True
1291,Y,praise,water intake,True
1292,Y,reward,meal planning,True
1293,Y,reminder,meal planning,True
1294,Y,reward,meal planning,True
1295,Y,reminder,meal planning,True
1296,Y,praise,meal planning,True
1297,N,suggestion,healthy eating,True
1298,Y,reward,meal planning,True
1299,Y,reward,meal planning,True
1300,Y,reminder,meal planning,True
1,Y,suggestion,meal planning,True
2,Y,suggestion,water intake,True
3,N,reminder,portion control,True
4,N,suggestion,portion control,True
5,N,suggestion,healthy eating,True
6,N,reward,portion control,True
7,N,reward,healthy eating,True
8,N,suggestion,portion control,True
9,N,reward,healthy eating,True
10,N,reward,portion control,True
11,Y,suggestion,meal planning,True
12,N,reward,healthy eating,True
13,N,suggestion,portion control,True
14,N,suggestion,portion control,True
15,Y,suggestion,water intake,True
16,N,reminder,healthy eating,True
17,N,suggestion,portion control,True
18,Y,praise,water intake,True
19,Y,suggestion,water intake,True
20,N,reward,healthy eating,True
21,N,reward,healthy eating,True
22,N,suggestion,portion control,True
23,Y,suggestion,water intake,True
24,N,reward,healthy eating,True
25,N,suggestion,portion control,True
26,Y,praise,water intake,True
27,N,reward,healthy eating,True
28,Y,reward,meal planning,True
29,N,suggestion,portion control,True
30,N,reward,healthy eating,True
31,N,suggestion,portion control,True
32,Y,suggestion,meal planning,True
33,N,suggestion,portion control,True
34,Y,suggestion,meal planning,True
35,N,suggestion,portion control,True
36,Y,suggestion,water intake,True
37,N,reward,healthy eating,True
38,Y,suggestion,water intake,True
39,Y,suggestion,meal planning,True
40,Y,praise,water intake,True
41,N,suggestion,portion control,True
42,N,praise,portion control,True
43,N,reward,healthy eating,True
44,N,suggestion,portion control,True
45,N,suggestion,portion control,True
46,Y,suggestion,water intake,True
47,N,reward,healthy eating,True
48,Y,suggestion,water intake,True
49,N,reminder,healthy eating,True
50,N,reminder,healthy eating,True
51,Y,suggestion,water intake,True
52,Y,suggestion,water intake,True
53,Y,suggestion,meal planning,True
54,N,reward,healthy eating,True
55,Y,reward,meal planning,True
56,Y,praise,water intake,True
57,N,reward,healthy eating,True
58,N,suggestion,portion control,True
59,N,reward,healthy eating,True
60,Y,suggestion,meal planning,True
61,N,suggestion,portion control,True
62,N,reward,healthy eating,True
63,N,suggestion,portion control,True
64,N,reminder,healthy eating,True
65,N,suggestion,portion control,True
66,Y,suggestion,meal planning,True
67,Y,praise,water intake,True
68,N,suggestion,healthy eating,True
69,Y,suggestion,meal planning,True
70,N,reward,healthy eating,True
71,N,suggestion,portion control,True
72,Y,suggestion,meal planning,True
73,Y,reward,meal planning,True
74,N,suggestion,portion control,True
75,Y,suggestion,meal planning,True
76,Y,reward,meal planning,True
77,N,reward,healthy eating,True
78,N,suggestion,portion control,True
79,N,reward,healthy eating,True
80,Y,reward,meal planning,True
81,Y,suggestion,water intake,True
82,Y,praise,water intake,True
83,N,reward,healthy eating,True
84,Y,suggestion,water intake,True
85,N,reward,healthy eating,True
86,Y,suggestion,meal planning,True
87,N,suggestion,portion control,True
88,N,suggestion,portion control,True
89,N,suggestion,portion control,True
90,Y,reward,meal planning,True
91,Y,suggestion,meal planning,True
92,N,suggestion,portion control,True
93,N,reward,healthy eating,True
94,Y,suggestion,meal planning,True
95,N,suggestion,portion control,True
96,Y,suggestion,meal planning,True
97,Y,suggestion,meal planning,True
98,Y,suggestion,meal planning,True
99,Y,suggestion,water intake,True
100,Y,reward,meal planning,True
101,Y,suggestion,water intake,True
102,N,suggestion,portion control,True
103,Y,suggestion,water intake,True
104,Y,praise,water intake,True
105,Y,praise,water intake,True
106,N,suggestion,portion control,True
107,Y,suggestion,meal planning,True
108,Y,reward,meal planning,True
109,Y,reward,meal planning,True
110,Y,praise,water intake,True
111,Y,suggestion,meal planning,True
112,Y,praise,water intake,True
113,Y,suggestion,water intake,True
114,N,suggestion,portion control,True
115,N,reward,healthy eating,True
116,Y,reward,meal planning,True
117,Y,reward,meal planning,True
118,Y,suggestion,meal planning,True
119,Y,suggestion,water intake,True
120,N,suggestion,portion control,True
121,Y,reward,meal planning,True
122,N,reminder,healthy eating,True
123,Y,reward,meal planning,True
124,Y,reward,meal planning,True
125,Y,suggestion,meal planning,True
126,N,suggestion,portion control,True
127,N,reward,healthy eating,True
128,N,suggestion,portion control,True
129,Y,suggestion,meal planning,True
130,N,reward,healthy eating,True
131,N,reward,healthy eating,True
132,Y,suggestion,meal planning,True
133,N,reward,healthy eating,True
134,N,suggestion,portion control,True
135,N,reward,healthy eating,True
136,Y,suggestion,meal planning,True
137,N,suggestion,portion control,True
138,Y,praise,water intake,True
139,N,suggestion,portion control,True
140,N,suggestion,portion control,True
141,N,reward,healthy eating,True
142,Y,praise,water intake,True
143,N,reward,healthy eating,True
144,N,reward,healthy eating,True
145,Y,reward,meal planning,True
146,N,suggestion,portion control,True
147,Y,suggestion,water intake,True
148,N,reward,healthy eating,True
149,Y,praise,water intake,True
150,N,reward,healthy eating,True
151,Y,praise,water intake,True
152,N,suggestion,portion control,True
153,Y,suggestion,water intake,True
154,Y,suggestion,meal planning,True
155,Y,praise,water intake,True
156,N,suggestion,portion control,True
157,N,reward,healthy eating,True
158,Y,suggestion,water intake,True
159,N,praise,portion control,True
160,N,reward,healthy eating,True
161,Y,suggestion,water intake,True
162,N,reward,healthy eating,True
163,Y,praise,water intake,True
164,Y,praise,water intake,True
165,Y,praise,water intake,True
166,Y,reward,meal planning,True
167,N,suggestion,portion control,True
168,N,reward,healthy eating,True
169,N,suggestion,portion control,True
170,N,reward,healthy eating,True
171,Y,suggestion,meal planning,True
172,N,suggestion,portion control,True
173,N,reward,healthy eating,True
174,Y,praise,water intake,True
175,Y,suggestion,water intake,True
176,N,suggestion,portion control,True
177,N,suggestion,portion control,True
178,N,reward,healthy eating,True
179,Y,suggestion,water intake,True
180,Y,suggestion,water intake,True
181,N,reminder,healthy eating,True
182,N,reward,healthy eating,True
183,N,suggestion,portion control,True
184,N,reward,healthy eating,True
185,N,suggestion,portion control,True
186,N,suggestion,portion control,True
187,N,reward,healthy eating,True
188,N,suggestion,portion control,True
189,Y,reward,meal planning,True
190,Y,suggestion,meal planning,True
191,N,suggestion,portion control,True
192,Y,praise,water intake,True
193,N,suggestion,portion control,True
194,N,reward,healthy eating,True
195,Y,praise,water intake,True
196,N,reward,healthy eating,True
197,N,suggestion,portion control,True
198,Y,suggestion,water intake,True
199,Y,praise,water intake,True
200,Y,suggestion,meal planning,True
201,N,reward,healthy eating,True
202,N,reward,healthy eating,True
203,Y,suggestion,meal planning,True
204,Y,suggestion,water intake,True
205,N,suggestion,portion control,True
206,Y,suggestion,meal planning,True
207,Y,praise,water intake,True
208,Y,suggestion,water intake,True
209,N,reward,healthy eating,True
210,Y,praise,water intake,True
211,Y,suggestion,meal planning,True
212,N,suggestion,portion control,True
213,N,reward,healthy eating,True
214,N,suggestion,portion control,True
215,N,suggestion,portion control,True
216,Y,suggestion,meal planning,True
217,N,suggestion,portion control,True
218,N,reward,healthy eating,True
219,Y,suggestion,meal planning,True
220,N,suggestion,portion control,True
221,N,suggestion,portion control,True
222,Y,praise,water intake,True
223,Y,suggestion,water intake,True
224,Y,suggestion,water intake,True
225,Y,praise,water intake,True
226,Y,suggestion,meal planning,True
227,Y,praise,water intake,True
228,Y,praise,water intake,True
229,N,suggestion,portion control,True
230,Y,suggestion,meal planning,True
231,N,reward,healthy eating,True
232,N,reward,healthy eating,True
233,Y,suggestion,water intake,True
234,N,suggestion,portion control,True
235,Y,suggestion,water intake,True
236,N,reward,healthy eating,True
237,Y,praise,water intake,True
238,N,reward,healthy eating,True
239,N,suggestion,portion control,True
240,N,suggestion,portion control,True
241,N,suggestion,portion control,True
242,N,reward,healthy eating,True
243,Y,praise,water intake,True
244,N,suggestion,portion control,True
245,N,suggestion,portion control,True
246,N,reward,healthy eating,True
247,Y,praise,water intake,True
248,N,suggestion,portion control,True
249,Y,suggestion,water intake,True
250,N,suggestion,portion control,True
251,Y,suggestion,water intake,True
252,Y,praise,water intake,True
253,N,reward,healthy eating,True
254,Y,praise,water intake,True
255,Y,suggestion,meal planning,True
256,Y,praise,water intake,True
257,N,suggestion,portion control,True
258,N,reward,healthy eating,True
259,Y,suggestion,meal planning,True
260,Y,praise,water intake,True
261,Y,suggestion,water intake,True
262,Y,suggestion,meal planning,True
263,Y,praise,water intake,True
264,Y,suggestion,water intake,True
265,N,suggestion,portion control,True
266,Y,praise,water intake,True
267,Y,praise,water intake,True
268,Y,reward,meal planning,True
269,N,reward,healthy eating,True
270,N,suggestion,portion control,True
271,N,reward,healthy eating,True
272,N,suggestion,portion control,True
273,Y,suggestion,meal planning,True
274,Y,praise,water intake,True
275,Y,praise,water intake,True
276,N,reward,healthy eating,True
277,Y,suggestion,water intake,True
278,Y,suggestion,water intake,True
279,Y,praise,water intake,True
280,Y,suggestion,water intake,True
281,Y,praise,water intake,True
282,Y,praise,water intake,True
283,Y,praise,water intake,True
284,Y,suggestion,meal planning,True
285,Y,suggestion,water intake,True
286,N,suggestion,portion control,True
287,N,reward,healthy eating,True
288,Y,suggestion,meal planning,True
289,N,reward,healthy eating,True
290,Y,suggestion,water intake,True
291,Y,praise,water intake,True
292,Y,praise,water intake,True
293,N,reward,healthy eating,True
294,N,suggestion,portion control,True
295,N,suggestion,portion control,True
296,N,reward,healthy eating,True
297,Y,praise,water intake,True
298,N,reward,healthy eating,True
299,Y,praise,water intake,True
300,Y,suggestion,meal planning,True
301,Y,suggestion,water intake,True
302,Y,suggestion,meal planning,True
303,Y,praise,water intake,True
304,Y,reward,meal planning,True
305,N,suggestion,portion control,True
306,N,reward,healthy eating,True
307,N,suggestion,portion control,True
308,Y,praise,water intake,True
309,N,reward,healthy eating,True
310,Y,praise,water intake,True
311,N,suggestion,portion control,True
312,N,suggestion,portion control,True
313,Y,suggestion,meal planning,True
314,N,reward,healthy eating,True
315,N,suggestion,portion control,True
316,Y,praise,water intake,True
317,Y,praise,water intake,True
318,Y,praise,water intake,True
319,Y,praise,water intake,True
320,Y,reward,meal planning,True
321,Y,suggestion,meal planning,True
322,Y,suggestion,water intake,True
323,Y,suggestion,water intake,True
324,Y,praise,water intake,True
325,N,reward,healthy eating,True
326,Y,praise,water intake,True
327,Y,suggestion,water intake,True
328,N,reward,healthy eating,True
329,Y,praise,water intake,True
330,N,suggestion,portion control,True
331,Y,praise,water intake,True
332,N,reward,healthy eating,True
333,Y,praise,water intake,True
334,Y,praise,water intake,True
335,Y,suggestion,water intake,True
336,Y,praise,water intake,True
337,Y,suggestion,water intake,True
338,Y,praise,water intake,True
339,N,suggestion,portion control,True
340,Y,praise,water intake,True
341,N,suggestion,portion control,True
342,N,suggestion,portion control,True
343,Y,praise,water intake,True
344,N,reward,healthy eating,True
345,Y,praise,water intake,True
346,N,suggestion,portion control,True
347,N,suggestion,portion control,True
348,Y,praise,water intake,True
349,Y,reward,meal planning,True
350,Y,praise,water intake,True
351,Y,suggestion,water intake,True
352,N,reward,healthy eating,True
353,Y,praise,water intake,True
354,Y,suggestion,water intake,True
355,Y,praise,water intake,True
356,Y,praise,water intake,True
357,Y,praise,water intake,True
358,N,suggestion,portion control,True
359,N,suggestion,portion control,True
360,Y,suggestion,water intake,True
361,Y,suggestion,water intake,True
362,N,reward,healthy eating,True
363,Y,praise,water intake,True
364,N,reminder,portion control,True
365,Y,suggestion,water intake,True
366,Y,praise,water intake,True
367,Y,praise,water intake,True
368,Y,praise,water intake,True
369,Y,praise,water intake,True
370,N,suggestion,portion control,True
371,N,suggestion,portion control,True
372,N,reward,healthy eating,True
373,N,suggestion,portion control,True
374,Y,praise,water intake,True
375,Y,praise,water intake,True
376,Y,praise,water intake,True
377,N,reward,healthy eating,True
378,Y,praise,water intake,True
379,Y,praise,water intake,True
380,N,suggestion,portion control,True
381,Y,suggestion,water intake,True
382,N,suggestion,portion control,True
383,Y,praise,water intake,True
384,Y,suggestion,water intake,True
385,N,reward,healthy eating,True
386,Y,praise,water intake,True
387,Y,praise,water intake,True
388,N,suggestion,portion control,True
389,Y,praise,water intake,True
390,Y,reward,meal planning,True
391,Y,praise,water intake,True
392,Y,suggestion,water intake,True
393,Y,suggestion,water intake,True
394,Y,praise,water intake,True
395,N,suggestion,portion control,True
396,Y,suggestion,water intake,True
397,Y,suggestion,water intake,True
398,Y,praise,water intake,True
399,Y,praise,water intake,True
400,Y,suggestion,water intake,True
401,N,suggestion,portion control,True
402,Y,suggestion,water intake,True
403,Y,praise,water intake,True
404,Y,praise,water intake,True
405,Y,suggestion,water intake,True
406,Y,praise,water intake,True
407,Y,praise,water intake,True
408,Y,suggestion,water intake,True
409,Y,praise,water intake,True
410,Y,suggestion,water intake,True
411,Y,praise,water intake,True
412,Y,suggestion,water intake,True
413,Y,suggestion,meal planning,True
414,Y,praise,water intake,True
415,Y,praise,water intake,True
416,Y,praise,water intake,True
417,N,reward,healthy eating,True
418,N,reward,healthy eating,True
419,Y,praise,water intake,True
420,Y,suggestion,water intake,True
421,Y,praise,water intake,True
422,Y,praise,water intake,True
423,Y,suggestion,meal planning,True
424,Y,suggestion,water intake,True
425,Y,praise,water intake,True
426,Y,reward,meal planning,True
427,Y,praise,water intake,True
428,N,reward,healthy eating,True
429,Y,suggestion,water intake,True
430,Y,praise,water intake,True
431,N,reward,healthy eating,True
432,Y,suggestion,water intake,True
433,N,suggestion,portion control,True
434,Y,praise,water intake,True
435,Y,praise,water intake,True
436,Y,praise,water intake,True
437,N,reward,healthy eating,True
438,Y,praise,water intake,True
439,Y,praise,water intake,True
440,Y,praise,water intake,True
441,Y,praise,water intake,True
442,Y,suggestion,water intake,True
443,Y,suggestion,water intake,True
444,Y,praise,water intake,True
445,Y,praise,water intake,True
446,Y,suggestion,water intake,True
447,Y,praise,water intake,True
448,Y,suggestion,water intake,True
449,Y,suggestion,water intake,True
450,Y,suggestion,meal planning,True
451,Y,praise,water intake,True
452,Y,praise,water intake,True
453,Y,praise,water intake,True
454,N,suggestion,portion control,True
455,Y,praise,water intake,True
456,Y,praise,water intake,True
457,Y,praise,water intake,True
458,Y,suggestion,water intake,True
459,Y,praise,water intake,True
460,Y,suggestion,water intake,True
461,Y,praise,water intake,True
462,Y,praise,water intake,True
463,Y,praise,water intake,True
464,Y,suggestion,water intake,True
465,N,suggestion,portion control,True
466,N,suggestion,portion control,True
467,Y,suggestion,water intake,True
468,Y,praise,water intake,True
469,Y,praise,water intake,True
470,Y,suggestion,water intake,True
471,Y,suggestion,water intake,True
472,Y,praise,water intake,True
473,Y,suggestion,water intake,True
474,N,suggestion,portion control,True
475,Y,praise,water intake,True
476,Y,suggestion,water intake,True
477,Y,praise,water intake,True
478,Y,suggestion,water intake,True
479,Y,suggestion,water intake,True
